brand_slug,slug,name
qingling,taga,Taga
qingling,taga_h,Taga H
knewstar,001,001
jetta,va3,VA3
jetta,va7,VA7
jetta,vs5,VS5
jetta,vs7,VS7
jetta,vs8,VS8
qoros,3,3
qoros,5,5
kama-atom,atom,Атом
datsun,cross,Cross
datsun,go,Go
datsun,mi-do,mi-Do
datsun,on-do,on-DO
mclaren,520s,520S
mclaren,540c,540C
mclaren,570gt,570GT
mclaren,570s,570S
mclaren,720s,720S
mclaren,750s,750S
mclaren,artura,Artura
mclaren,gt,GT
mclaren,p1,P1
mclaren,w1,W1
esteo,exlantix_es,Exlantix ES
esteo,exlantix_et,Exlantix ET
esteo,exlantix_et8,Exlantix ET8
esteo,mx,MX
esteo,v27,V27
nio,ec6,EC6
nio,ec7,EC7
nio,el7,EL7
nio,es6,ES6
nio,es7,ES7
nio,es8,ES8
nio,et5,ET5
nio,et7,ET7
nio,et9,ET9
nio,firefly,Firefly
mercedes-benz,190,190
mercedes-benz,a-class,A-Class
mercedes-benz,amg_gt,AMG GT
mercedes-benz,amg_one,AMG One
mercedes-benz,b-class,B-Class
mercedes-benz,c-class,C-Class
mercedes-benz,citan,Citan
mercedes-benz,cl-class,CL-Class
mercedes-benz,cla-class,CLA-Class
mercedes-benz,clc-class,CLC-Class
mercedes-benz,cle-class,CLE-Class
mercedes-benz,clk-class,CLK-Class
mercedes-benz,cls-class,CLS-Class
mercedes-benz,e-class,E-Class
mercedes-benz,eqa,EQA
mercedes-benz,eqb,EQB
mercedes-benz,eqc,EQC
mercedes-benz,eqe,EQE
mercedes-benz,eqe_suv,EQE SUV
mercedes-benz,eqs,EQS
mercedes-benz,eqs_suv,EQS SUV
mercedes-benz,eqv,EQV
mercedes-benz,g-class,G-Class
mercedes-benz,gl-class,GL-Class
mercedes-benz,gla-class,GLA-Class
mercedes-benz,glb,GLB-Class
mercedes-benz,glc_coupe,GLC Coupe
mercedes-benz,glc_eq,GLC EQ
mercedes-benz,glc-class,GLC-Class
mercedes-benz,gle_coupe,GLE Coupe
mercedes-benz,gle-class,GLE-Class
mercedes-benz,glk-class,GLK-Class
mercedes-benz,gls-class,GLS-Class
mercedes-benz,m-class,M-Class
mercedes-benz,metris,Metris
